,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
217,greater than $200,36,existing credits paid back duly till now,television,3913,less than 100,1-4 years,2,male-single,none,2,real estate,23,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
218,less than 0,24,existing credits paid back duly till now,furniture,3021,less than 100,1-4 years,2,male-divorced,none,2,real estate,24,none,rent,1,unskilled,1,none,yes,1
219,no checking account,10,existing credits paid back duly till now,new car,1364,less than 100,1-4 years,2,female-divorced_married_or_single,none,4,car or other,64,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
220,0-200,12,existing credits paid back duly till now,television,625,less than 100,less than 1 year,4,male-married_widowed,guarantor,1,real estate,26,bank,own,1,unskilled,1,none,yes,1
221,less than 0,12,existing credits paid back duly till now,education,1200,unknown or no savings account,1-4 years,4,female-divorced_married_or_single,none,4,life insurance,23,bank,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
222,no checking account,12,existing credits paid back duly till now,television,707,less than 100,1-4 years,4,male-single,none,2,real estate,30,bank,own,2,skilled employee,1,none,yes,1
223,no checking account,24,delay in paying off in the past,business,2978,unknown or no savings account,1-4 years,4,male-single,none,4,real estate,32,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
224,no checking account,15,existing credits paid back duly till now,used car,4657,less than 100,1-4 years,3,male-single,none,2,car or other,30,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
225,no checking account,36,no credits taken or all credits paid back duly,repairs,2613,less than 100,1-4 years,4,male-single,none,2,car or other,27,none,own,2,skilled employee,1,none,yes,1
226,0-200,48,existing credits paid back duly till now,television,10961,greater than 1000,4-7 years,1,male-single,co-applicant,2,unknown,27,bank,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
227,less than 0,12,existing credits paid back duly till now,furniture,7865,less than 100,greater than 7 years,4,male-single,none,4,unknown,53,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
228,no checking account,9,existing credits paid back duly till now,television,1478,less than 100,4-7 years,4,male-single,none,2,car or other,22,none,own,1,skilled employee,1,none,yes,2
229,less than 0,24,existing credits paid back duly till now,furniture,3149,less than 100,less than 1 year,4,male-single,none,1,unknown,22,bank,for free,1,skilled employee,1,none,yes,1
230,greater than $200,36,existing credits paid back duly till now,television,4210,less than 100,1-4 years,4,male-single,none,2,car or other,26,none,own,1,skilled employee,1,none,yes,2
231,no checking account,9,existing credits paid back duly till now,new car,2507,500-1000,greater than 7 years,2,male-single,none,4,unknown,51,none,for free,1,unskilled,1,none,yes,1
232,no checking account,12,existing credits paid back duly till now,television,2141,100-500,4-7 years,3,male-single,none,1,unknown,35,none,own,1,skilled employee,1,none,yes,1
233,0-200,18,existing credits paid back duly till now,television,866,less than 100,1-4 years,4,male-married_widowed,guarantor,2,real estate,25,none,own,1,unskilled,1,none,yes,1
234,no checking account,4,critical account or other credits existing not at this bank,television,1544,less than 100,4-7 years,2,male-single,none,1,real estate,42,none,own,3,unskilled,2,none,yes,1
235,less than 0,24,existing credits paid back duly till now,television,1823,less than 100,unemployed,4,male-single,none,2,car or other,30,stores,own,1,management or self-employed or officer,2,none,yes,2
236,0-200,6,existing credits paid back duly till now,new car,14555,unknown or no savings account,unemployed,1,male-single,none,2,life insurance,23,none,own,1,unemployed,1,"yes, registered under the customer name",yes,2
237,0-200,21,existing credits paid back duly till now,business,2767,100-500,greater than 7 years,4,male-divorced,none,2,car or other,61,bank,rent,2,unskilled,1,none,yes,2
238,no checking account,12,critical account or other credits existing not at this bank,television,1291,less than 100,1-4 years,4,female-divorced_married_or_single,none,2,life insurance,35,none,own,2,skilled employee,1,none,yes,1
239,less than 0,30,existing credits paid back duly till now,television,2522,less than 100,greater than 7 years,1,male-single,guarantor,3,life insurance,39,none,own,1,skilled employee,2,none,yes,1
240,less than 0,24,existing credits paid back duly till now,new car,915,unknown or no savings account,greater than 7 years,4,female-divorced_married_or_single,none,2,car or other,29,bank,own,1,skilled employee,1,none,yes,2
241,no checking account,6,existing credits paid back duly till now,television,1595,less than 100,4-7 years,3,male-single,none,2,life insurance,51,none,own,1,skilled employee,2,none,yes,1
242,less than 0,48,no credits taken or all credits paid back duly,used car,4605,less than 100,greater than 7 years,3,male-single,none,4,unknown,24,none,for free,2,skilled employee,2,none,yes,2
243,no checking account,12,critical account or other credits existing not at this bank,business,1185,less than 100,1-4 years,3,female-divorced_married_or_single,none,2,real estate,27,none,own,2,skilled employee,1,none,yes,1
244,no checking account,12,all credits at this bank paid back duly,retraining,3447,500-1000,1-4 years,4,female-divorced_married_or_single,none,3,real estate,35,none,own,1,unskilled,2,none,yes,1
245,no checking account,24,existing credits paid back duly till now,business,1258,less than 100,4-7 years,4,male-single,none,1,real estate,25,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
246,no checking account,12,critical account or other credits existing not at this bank,television,717,less than 100,greater than 7 years,4,male-single,none,4,real estate,52,none,own,3,skilled employee,1,none,yes,1
247,no checking account,6,no credits taken or all credits paid back duly,new car,1204,100-500,1-4 years,4,male-single,none,1,unknown,35,bank,rent,1,skilled employee,1,none,no,1
248,greater than $200,24,existing credits paid back duly till now,furniture,1925,less than 100,1-4 years,2,male-single,none,2,real estate,26,none,own,1,skilled employee,1,none,yes,1
249,no checking account,18,existing credits paid back duly till now,television,433,less than 100,unemployed,3,female-divorced_married_or_single,co-applicant,4,real estate,22,none,rent,1,skilled employee,1,none,yes,2
250,less than 0,6,critical account or other credits existing not at this bank,new car,666,greater than 1000,4-7 years,3,female-divorced_married_or_single,none,4,real estate,39,none,own,2,unskilled,1,"yes, registered under the customer name",yes,1
251,greater than $200,12,existing credits paid back duly till now,furniture,2251,less than 100,1-4 years,1,female-divorced_married_or_single,none,2,car or other,46,none,own,1,unskilled,1,none,yes,1
252,0-200,30,existing credits paid back duly till now,new car,2150,less than 100,1-4 years,4,female-divorced_married_or_single,guarantor,2,unknown,24,bank,own,1,skilled employee,1,none,yes,2
253,no checking account,24,delay in paying off in the past,furniture,4151,100-500,1-4 years,2,male-single,none,3,life insurance,35,none,own,2,skilled employee,1,none,yes,1
254,0-200,9,existing credits paid back duly till now,furniture,2030,unknown or no savings account,4-7 years,2,male-single,none,1,car or other,24,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
255,0-200,60,delay in paying off in the past,television,7418,unknown or no savings account,1-4 years,1,male-single,none,1,real estate,27,none,own,1,unskilled,1,none,yes,1
256,no checking account,24,critical account or other credits existing not at this bank,television,2684,less than 100,1-4 years,4,male-single,none,2,real estate,35,none,own,2,unskilled,1,none,yes,1
257,less than 0,12,all credits at this bank paid back duly,television,2149,less than 100,1-4 years,4,male-divorced,none,1,unknown,29,none,for free,1,skilled employee,1,none,yes,2
258,no checking account,15,existing credits paid back duly till now,used car,3812,100-500,less than 1 year,1,female-divorced_married_or_single,none,4,car or other,23,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
259,no checking account,11,critical account or other credits existing not at this bank,television,1154,100-500,unemployed,4,female-divorced_married_or_single,none,4,real estate,57,none,own,3,unskilled,1,none,yes,1
260,less than 0,12,existing credits paid back duly till now,furniture,1657,less than 100,1-4 years,2,male-single,none,2,real estate,27,none,own,1,skilled employee,1,none,yes,1
261,less than 0,24,existing credits paid back duly till now,television,1603,less than 100,greater than 7 years,4,female-divorced_married_or_single,none,4,car or other,55,none,own,1,skilled employee,1,none,yes,1
262,less than 0,18,critical account or other credits existing not at this bank,new car,5302,less than 100,greater than 7 years,2,male-single,none,4,unknown,36,none,for free,3,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
263,no checking account,12,critical account or other credits existing not at this bank,education,2748,less than 100,greater than 7 years,2,female-divorced_married_or_single,none,4,unknown,57,bank,for free,3,unskilled,1,none,yes,1
264,no checking account,10,critical account or other credits existing not at this bank,new car,1231,less than 100,greater than 7 years,3,male-single,none,4,real estate,32,none,own,2,unskilled,2,none,no,1
265,0-200,15,existing credits paid back duly till now,television,802,less than 100,greater than 7 years,4,male-single,none,3,car or other,37,none,own,1,skilled employee,2,none,yes,2
266,no checking account,36,critical account or other credits existing not at this bank,business,6304,unknown or no savings account,greater than 7 years,4,male-single,none,4,real estate,36,none,own,2,skilled employee,1,none,yes,1
267,no checking account,24,existing credits paid back duly till now,television,1533,less than 100,less than 1 year,4,female-divorced_married_or_single,none,3,car or other,38,stores,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
268,less than 0,14,existing credits paid back duly till now,new car,8978,less than 100,greater than 7 years,1,male-divorced,none,4,life insurance,45,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",no,2
269,no checking account,24,existing credits paid back duly till now,television,999,unknown or no savings account,greater than 7 years,4,male-single,none,2,car or other,25,none,own,2,skilled employee,1,none,yes,1
270,no checking account,18,existing credits paid back duly till now,new car,2662,unknown or no savings account,4-7 years,4,male-single,none,3,life insurance,32,none,own,1,skilled employee,1,none,no,1
271,no checking account,12,critical account or other credits existing not at this bank,furniture,1402,500-1000,4-7 years,3,female-divorced_married_or_single,none,4,car or other,37,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
272,0-200,48,all credits at this bank paid back duly,new car,12169,unknown or no savings account,unemployed,4,male-single,co-applicant,4,unknown,36,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
273,0-200,48,existing credits paid back duly till now,television,3060,less than 100,4-7 years,4,male-single,none,4,real estate,28,none,own,2,skilled employee,1,none,yes,2
274,less than 0,30,existing credits paid back duly till now,repairs,11998,less than 100,less than 1 year,1,male-divorced,none,1,unknown,34,none,own,1,unskilled,1,"yes, registered under the customer name",yes,2
275,no checking account,9,existing credits paid back duly till now,television,2697,less than 100,1-4 years,1,male-single,none,2,real estate,32,none,own,1,skilled employee,2,none,yes,1
276,no checking account,18,critical account or other credits existing not at this bank,television,2404,less than 100,1-4 years,2,female-divorced_married_or_single,none,2,car or other,26,none,own,2,skilled employee,1,none,yes,1
277,less than 0,12,existing credits paid back duly till now,furniture,1262,unknown or no savings account,greater than 7 years,2,male-divorced,none,4,life insurance,49,none,own,1,unskilled,1,"yes, registered under the customer name",yes,1
278,no checking account,6,existing credits paid back duly till now,furniture,4611,less than 100,less than 1 year,1,female-divorced_married_or_single,none,4,life insurance,32,none,own,1,skilled employee,1,none,yes,2
279,no checking account,24,existing credits paid back duly till now,television,1901,100-500,1-4 years,4,male-single,none,4,car or other,29,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
280,no checking account,15,critical account or other credits existing not at this bank,used car,3368,greater than 1000,greater than 7 years,3,male-single,none,4,unknown,23,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,1
281,no checking account,12,existing credits paid back duly till now,furniture,1574,less than 100,1-4 years,4,male-single,none,2,real estate,50,none,own,1,skilled employee,1,none,yes,1
282,greater than $200,18,all credits at this bank paid back duly,television,1445,unknown or no savings account,4-7 years,4,male-single,none,4,car or other,49,bank,own,1,unskilled,1,none,yes,1
283,no checking account,15,critical account or other credits existing not at this bank,furniture,1520,unknown or no savings account,greater than 7 years,4,male-single,none,4,life insurance,63,none,own,1,skilled employee,1,none,yes,1
284,0-200,24,critical account or other credits existing not at this bank,new car,3878,100-500,less than 1 year,4,male-divorced,none,2,car or other,37,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
285,less than 0,47,existing credits paid back duly till now,new car,10722,less than 100,less than 1 year,1,female-divorced_married_or_single,none,1,real estate,35,none,own,1,unskilled,1,"yes, registered under the customer name",yes,1
286,less than 0,48,existing credits paid back duly till now,used car,4788,less than 100,4-7 years,4,male-single,none,3,life insurance,26,none,own,1,skilled employee,2,none,yes,1
287,0-200,48,delay in paying off in the past,others,7582,100-500,unemployed,2,male-single,none,4,unknown,31,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
288,0-200,12,existing credits paid back duly till now,television,1092,less than 100,1-4 years,4,female-divorced_married_or_single,guarantor,4,real estate,49,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
289,less than 0,24,delay in paying off in the past,television,1024,less than 100,less than 1 year,4,male-married_widowed,none,4,real estate,48,stores,own,1,skilled employee,1,none,yes,2
290,no checking account,12,existing credits paid back duly till now,business,1076,less than 100,1-4 years,2,male-married_widowed,none,2,real estate,26,none,own,1,skilled employee,1,"yes, registered under the customer name",no,1
291,0-200,36,existing credits paid back duly till now,used car,9398,less than 100,less than 1 year,1,male-married_widowed,none,4,car or other,28,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
292,less than 0,24,critical account or other credits existing not at this bank,used car,6419,less than 100,greater than 7 years,2,female-divorced_married_or_single,none,4,unknown,44,none,for free,2,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
293,greater than $200,42,critical account or other credits existing not at this bank,used car,4796,less than 100,greater than 7 years,4,male-single,none,4,unknown,56,none,for free,1,skilled employee,1,none,yes,1
294,no checking account,48,critical account or other credits existing not at this bank,business,7629,unknown or no savings account,greater than 7 years,4,male-divorced,none,2,car or other,46,bank,own,2,management or self-employed or officer,2,none,yes,1
295,0-200,48,existing credits paid back duly till now,furniture,9960,less than 100,less than 1 year,1,female-divorced_married_or_single,none,2,car or other,26,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
296,no checking account,12,existing credits paid back duly till now,used car,4675,unknown or no savings account,less than 1 year,1,female-divorced_married_or_single,none,4,car or other,20,none,rent,1,skilled employee,1,none,yes,1
297,no checking account,10,existing credits paid back duly till now,new car,1287,unknown or no savings account,greater than 7 years,4,male-single,co-applicant,2,life insurance,45,none,own,1,unskilled,1,none,no,1
298,no checking account,18,existing credits paid back duly till now,furniture,2515,less than 100,1-4 years,3,male-single,none,4,real estate,43,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
299,0-200,21,critical account or other credits existing not at this bank,furniture,2745,greater than 1000,4-7 years,3,male-single,none,2,car or other,32,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
300,no checking account,6,existing credits paid back duly till now,new car,672,less than 100,unemployed,1,female-divorced_married_or_single,none,4,real estate,54,none,own,1,unemployed,1,"yes, registered under the customer name",yes,1
301,0-200,36,no credits taken or all credits paid back duly,television,3804,less than 100,1-4 years,4,female-divorced_married_or_single,none,1,car or other,42,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
302,greater than $200,24,critical account or other credits existing not at this bank,new car,1344,unknown or no savings account,4-7 years,4,male-single,none,2,real estate,37,bank,own,2,unskilled,2,none,yes,2
303,less than 0,10,critical account or other credits existing not at this bank,new car,1038,less than 100,4-7 years,4,male-single,co-applicant,3,life insurance,49,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
304,no checking account,48,critical account or other credits existing not at this bank,new car,10127,500-1000,1-4 years,2,male-single,none,2,unknown,44,bank,for free,1,skilled employee,1,none,yes,2
305,no checking account,6,existing credits paid back duly till now,furniture,1543,greater than 1000,1-4 years,4,male-divorced,none,2,real estate,33,none,own,1,skilled employee,1,none,yes,1
306,no checking account,30,existing credits paid back duly till now,used car,4811,unknown or no savings account,4-7 years,2,female-divorced_married_or_single,none,4,life insurance,24,stores,rent,1,unskilled,1,none,yes,1
307,less than 0,12,existing credits paid back duly till now,television,727,100-500,less than 1 year,4,male-married_widowed,none,3,unknown,33,none,own,1,unskilled,1,"yes, registered under the customer name",yes,2
308,0-200,8,existing credits paid back duly till now,furniture,1237,less than 100,1-4 years,3,female-divorced_married_or_single,none,4,real estate,24,none,own,1,skilled employee,1,none,yes,2
309,0-200,9,existing credits paid back duly till now,new car,276,less than 100,1-4 years,4,male-married_widowed,none,4,real estate,22,none,rent,1,unskilled,1,none,yes,1
310,0-200,48,existing credits paid back duly till now,others,5381,unknown or no savings account,unemployed,3,male-single,none,4,unknown,40,bank,for free,1,unemployed,1,"yes, registered under the customer name",yes,1
311,no checking account,24,existing credits paid back duly till now,furniture,5511,100-500,1-4 years,4,male-single,none,1,car or other,25,stores,own,1,skilled employee,1,none,yes,1
312,greater than $200,24,existing credits paid back duly till now,furniture,3749,less than 100,less than 1 year,2,female-divorced_married_or_single,none,4,car or other,26,none,own,1,skilled employee,1,none,yes,1
313,0-200,12,existing credits paid back duly till now,new car,685,less than 100,4-7 years,2,male-married_widowed,none,3,car or other,25,bank,own,1,unskilled,1,none,yes,2
314,greater than $200,4,existing credits paid back duly till now,new car,1494,unknown or no savings account,less than 1 year,1,male-single,none,2,real estate,29,none,own,1,unskilled,2,none,no,1
315,less than 0,36,all credits at this bank paid back duly,furniture,2746,less than 100,greater than 7 years,4,male-single,none,4,car or other,31,bank,own,1,skilled employee,1,none,yes,2
316,less than 0,12,existing credits paid back duly till now,furniture,708,less than 100,1-4 years,2,male-single,guarantor,3,life insurance,38,none,own,1,unskilled,2,none,yes,1
317,0-200,24,existing credits paid back duly till now,furniture,4351,unknown or no savings account,1-4 years,1,female-divorced_married_or_single,none,4,life insurance,48,none,own,1,unskilled,1,"yes, registered under the customer name",yes,1
318,no checking account,12,critical account or other credits existing not at this bank,education,701,less than 100,1-4 years,4,male-single,none,2,car or other,32,none,own,2,skilled employee,1,none,yes,1
319,less than 0,15,delay in paying off in the past,furniture,3643,less than 100,greater than 7 years,1,female-divorced_married_or_single,none,4,life insurance,27,none,own,2,unskilled,1,none,yes,1
320,0-200,30,critical account or other credits existing not at this bank,new car,4249,less than 100,unemployed,4,male-married_widowed,none,2,car or other,28,none,own,2,management or self-employed or officer,1,none,yes,2
321,less than 0,24,existing credits paid back duly till now,television,1938,less than 100,less than 1 year,4,male-divorced,none,3,life insurance,32,none,own,1,skilled employee,1,none,yes,2
322,less than 0,24,existing credits paid back duly till now,used car,2910,less than 100,4-7 years,2,male-single,none,1,unknown,34,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
323,less than 0,18,existing credits paid back duly till now,furniture,2659,greater than 1000,1-4 years,4,male-single,none,2,car or other,28,none,own,1,skilled employee,1,none,yes,1
324,no checking account,18,critical account or other credits existing not at this bank,new car,1028,less than 100,1-4 years,4,female-divorced_married_or_single,none,3,real estate,36,none,own,2,skilled employee,1,none,yes,1
325,less than 0,8,critical account or other credits existing not at this bank,new car,3398,less than 100,4-7 years,1,male-single,none,4,real estate,39,none,own,2,unskilled,1,none,no,1
326,no checking account,12,critical account or other credits existing not at this bank,furniture,5801,unknown or no savings account,greater than 7 years,2,male-single,none,4,life insurance,49,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
327,no checking account,24,existing credits paid back duly till now,new car,1525,greater than 1000,4-7 years,4,female-divorced_married_or_single,none,3,car or other,34,none,own,1,skilled employee,2,"yes, registered under the customer name",yes,1
328,greater than $200,36,existing credits paid back duly till now,television,4473,less than 100,greater than 7 years,4,male-single,none,2,car or other,31,none,own,1,skilled employee,1,none,yes,1
329,0-200,6,existing credits paid back duly till now,television,1068,less than 100,greater than 7 years,4,male-single,none,4,car or other,28,none,own,1,skilled employee,2,none,yes,1
330,less than 0,24,critical account or other credits existing not at this bank,used car,6615,less than 100,unemployed,2,male-single,none,4,unknown,75,none,for free,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
331,no checking account,18,critical account or other credits existing not at this bank,education,1864,100-500,1-4 years,4,female-divorced_married_or_single,none,2,real estate,30,none,own,2,skilled employee,1,none,yes,2
332,0-200,60,existing credits paid back duly till now,new car,7408,100-500,less than 1 year,4,female-divorced_married_or_single,none,2,life insurance,24,none,own,1,management or self-employed or officer,1,none,yes,2
333,no checking account,48,critical account or other credits existing not at this bank,used car,11590,100-500,1-4 years,2,female-divorced_married_or_single,none,4,car or other,24,bank,rent,2,unskilled,1,none,yes,2
334,less than 0,24,no credits taken or all credits paid back duly,furniture,4110,less than 100,greater than 7 years,3,male-single,none,4,unknown,23,bank,rent,2,skilled employee,2,none,yes,2
335,less than 0,6,critical account or other credits existing not at this bank,furniture,3384,less than 100,1-4 years,1,male-divorced,none,4,real estate,44,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
336,0-200,13,existing credits paid back duly till now,television,2101,less than 100,less than 1 year,2,female-divorced_married_or_single,guarantor,4,life insurance,23,none,own,1,unskilled,1,none,yes,1
337,less than 0,15,existing credits paid back duly till now,domestic appliances,1275,unknown or no savings account,1-4 years,4,female-divorced_married_or_single,none,2,car or other,24,none,rent,1,skilled employee,1,none,yes,2
338,less than 0,24,existing credits paid back duly till now,furniture,4169,less than 100,1-4 years,4,male-single,none,4,life insurance,28,none,own,1,skilled employee,1,none,yes,1
339,0-200,10,existing credits paid back duly till now,furniture,1521,less than 100,1-4 years,4,male-divorced,none,2,car or other,31,none,own,1,unskilled,1,none,yes,1
340,0-200,24,critical account or other credits existing not at this bank,education,5743,less than 100,less than 1 year,2,female-divorced_married_or_single,none,4,unknown,24,none,for free,2,skilled employee,1,"yes, registered under the customer name",yes,1
341,less than 0,21,existing credits paid back duly till now,furniture,3599,less than 100,4-7 years,1,female-divorced_married_or_single,none,4,car or other,26,none,rent,1,unskilled,1,none,yes,1
342,0-200,18,existing credits paid back duly till now,television,3213,500-1000,less than 1 year,1,male-married_widowed,none,3,real estate,25,none,rent,1,skilled employee,1,none,yes,1
343,0-200,18,existing credits paid back duly till now,business,4439,less than 100,greater than 7 years,1,male-single,co-applicant,1,real estate,33,bank,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
344,greater than $200,10,existing credits paid back duly till now,new car,3949,less than 100,less than 1 year,1,male-single,guarantor,1,life insurance,37,none,own,1,unskilled,2,none,yes,1
345,no checking account,15,critical account or other credits existing not at this bank,television,1459,less than 100,1-4 years,4,female-divorced_married_or_single,none,2,car or other,43,none,own,1,unskilled,1,none,yes,1
346,0-200,13,critical account or other credits existing not at this bank,television,882,less than 100,less than 1 year,4,male-single,guarantor,4,real estate,23,none,own,2,skilled employee,1,none,yes,1
347,0-200,24,existing credits paid back duly till now,television,3758,500-1000,unemployed,1,female-divorced_married_or_single,none,4,unknown,23,none,rent,1,unemployed,1,none,yes,1
348,no checking account,6,delay in paying off in the past,business,1743,100-500,1-4 years,1,male-single,none,2,real estate,34,none,own,2,unskilled,1,none,yes,1
349,0-200,9,critical account or other credits existing not at this bank,education,1136,greater than 1000,greater than 7 years,4,male-single,none,3,unknown,32,none,for free,2,skilled employee,2,none,yes,2
350,no checking account,9,existing credits paid back duly till now,domestic appliances,1236,less than 100,less than 1 year,1,female-divorced_married_or_single,none,4,real estate,23,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
351,0-200,9,existing credits paid back duly till now,furniture,959,less than 100,1-4 years,1,female-divorced_married_or_single,none,2,car or other,29,none,own,1,skilled employee,1,none,no,2
352,no checking account,18,critical account or other credits existing not at this bank,used car,3229,unknown or no savings account,unemployed,2,male-single,none,4,unknown,38,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
353,less than 0,12,no credits taken or all credits paid back duly,television,6199,less than 100,1-4 years,4,male-single,none,2,life insurance,28,none,rent,2,skilled employee,1,"yes, registered under the customer name",yes,2
354,no checking account,10,existing credits paid back duly till now,education,727,500-1000,greater than 7 years,4,male-single,none,4,unknown,46,none,for free,1,skilled employee,1,"yes, registered under the customer name",yes,1
355,0-200,24,existing credits paid back duly till now,new car,1246,less than 100,less than 1 year,4,male-single,none,2,real estate,23,stores,own,1,unskilled,1,none,yes,2
356,no checking account,12,critical account or other credits existing not at this bank,television,2331,unknown or no savings account,greater than 7 years,1,male-single,co-applicant,4,real estate,49,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
357,no checking account,36,delay in paying off in the past,television,4463,less than 100,1-4 years,4,male-single,none,2,car or other,26,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
358,no checking account,12,existing credits paid back duly till now,television,776,less than 100,1-4 years,4,male-married_widowed,none,2,real estate,28,none,own,1,skilled employee,1,none,yes,1
359,less than 0,30,existing credits paid back duly till now,furniture,2406,less than 100,4-7 years,4,female-divorced_married_or_single,none,4,real estate,23,none,rent,1,skilled employee,1,none,yes,2
360,0-200,18,existing credits paid back duly till now,education,1239,unknown or no savings account,1-4 years,4,male-single,none,4,unknown,61,none,for free,1,skilled employee,1,none,yes,1
361,greater than $200,12,existing credits paid back duly till now,television,3399,unknown or no savings account,greater than 7 years,2,male-single,none,3,car or other,37,none,own,1,management or self-employed or officer,1,none,yes,1
362,greater than $200,12,delay in paying off in the past,new car,2247,less than 100,1-4 years,2,female-divorced_married_or_single,none,2,car or other,36,stores,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
363,no checking account,6,existing credits paid back duly till now,furniture,1766,less than 100,1-4 years,1,male-married_widowed,none,2,life insurance,21,none,rent,1,skilled employee,1,none,yes,1
364,less than 0,18,existing credits paid back duly till now,furniture,2473,less than 100,unemployed,4,male-single,none,1,car or other,25,none,own,1,unemployed,1,none,yes,2
365,no checking account,12,existing credits paid back duly till now,business,1542,less than 100,4-7 years,2,male-single,none,4,car or other,36,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
366,no checking account,18,critical account or other credits existing not at this bank,used car,3850,less than 100,4-7 years,3,male-single,none,1,car or other,27,none,own,2,skilled employee,1,none,yes,1
367,less than 0,18,existing credits paid back duly till now,furniture,3650,less than 100,less than 1 year,1,female-divorced_married_or_single,none,4,car or other,22,none,rent,1,skilled employee,1,none,yes,1
368,less than 0,36,existing credits paid back duly till now,furniture,3446,less than 100,greater than 7 years,4,male-single,none,2,car or other,42,none,own,1,skilled employee,2,none,yes,2
369,0-200,18,existing credits paid back duly till now,furniture,3001,less than 100,4-7 years,2,female-divorced_married_or_single,none,4,real estate,40,none,rent,1,skilled employee,1,none,yes,1
370,no checking account,36,existing credits paid back duly till now,new car,3079,unknown or no savings account,1-4 years,4,male-single,none,4,real estate,36,none,own,1,skilled employee,1,none,yes,1
371,no checking account,18,critical account or other credits existing not at this bank,television,6070,less than 100,greater than 7 years,3,male-single,none,4,car or other,33,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
372,no checking account,10,critical account or other credits existing not at this bank,furniture,2146,less than 100,less than 1 year,1,female-divorced_married_or_single,none,3,real estate,23,none,rent,2,skilled employee,1,none,yes,1
373,no checking account,60,critical account or other credits existing not at this bank,new car,13756,unknown or no savings account,greater than 7 years,2,male-single,none,4,unknown,63,bank,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
374,0-200,60,all credits at this bank paid back duly,others,14782,100-500,greater than 7 years,3,female-divorced_married_or_single,none,4,unknown,60,bank,for free,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
375,less than 0,48,all credits at this bank paid back duly,business,7685,less than 100,4-7 years,2,female-divorced_married_or_single,guarantor,4,car or other,37,none,rent,1,skilled employee,1,none,yes,2
376,no checking account,18,delay in paying off in the past,television,2320,less than 100,unemployed,2,male-married_widowed,none,3,real estate,34,none,own,2,skilled employee,1,none,yes,1
377,no checking account,7,delay in paying off in the past,television,846,unknown or no savings account,greater than 7 years,3,male-single,none,4,unknown,36,none,for free,1,skilled employee,1,none,yes,1
378,0-200,36,existing credits paid back duly till now,new car,14318,less than 100,greater than 7 years,4,male-single,none,2,unknown,57,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
379,no checking account,6,critical account or other credits existing not at this bank,new car,362,100-500,1-4 years,4,female-divorced_married_or_single,none,4,car or other,52,none,own,2,unskilled,1,none,yes,1
